Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HIRIP3,Q9BW71,-2.649087923156788,-2.974226990857856,-3.0704000056104803,-2.804009981301242,-3.016705640787759,-2.8908642111854803,-2.7532119542319613,-2.6256350931423285,-2.75155513178267,-2.8546576266318446,-3.034134245558743,-2.7101182242289,-2.6511254894869225,-2.689927226687402,-2.9471897995104968
HK1,P19367,5.194273452721152,5.65069141738071,5.601974938150988,5.4662657816823454,5.831386354142051,5.455207571579773,5.964072410762892,5.6180793457653735,5.609920827473459,5.636051008203943,5.7941925374814645,5.711490821345713,6.0261693027389605,5.421270503800141,5.6911300057700664
HK2,P52789,2.1195769629460592,1.5824441919376575,2.058438722478815,2.444603567483835,1.9244815827269512,2.2924377348499085,1.9313036997233652,1.7762144088440017,2.0269533751693842,1.679788775927662,1.6876483906314483,1.7733770224549161,1.9561073275645775,2.0319587969371575,1.9613947752045107
HK3,P52790,-1.8264135953958878,-2.579172457593616,-2.8916274152902233,-1.923381229918924,-2.4762158770214278,-2.182502716843892,-2.276918715810446,-2.7673278145147506,-2.787577446360281,-2.4407228388752493,-1.7307442798773138,-3.0280000290876536,-2.2436279952264933,-2.461516420223809,-2.602265449180358
HLA-A,P04439,1.7571519386046788,2.7197358400797498,2.0341321194114315,1.331861029037107,2.271925733398472,2.8397699125616462,2.318326172069213,1.9106362533750918,2.776359669176223,1.9042582079006216,1.7377985350189569,1.729463147466248,2.4876844862851684,1.611922406532127,2.543999679703113
HLA-B,P01889,0.6723374233750903,0.813486685151048,-0.048263076253114434,0.870571670769877,-0.12231150777960309,0.6740233943458449,0.18612931269561273,-0.27833869896732466,0.8228974595883862,0.3346675150197882,-0.03405621503759804,0.6956455325685909,0.8626716452894669,0.583395977161139,1.1830303503699504
HLA-C,P10321,0.13806024212228962,0.0819845097834424,0.21172523895485185,0.25306465359241415,0.19377204165614614,0.1691798348780651,0.015062891892995367,0.15660667634864822,0.16642654765735898,-0.31776233730520786,0.23934473186836058,0.2622898437289223,0.35080603358327167,0.29075430226392385,0.0812632125695103
HLA-DPA1,P20036,-0.9518751112643287,-0.6468183139471506,-1.8040337947863456,-1.61365340227146,-1.9549337116301437,-1.6582440394119224,-1.494023694753075,-1.732634782850436,-0.7107515338438439,-1.970803665111589,-1.1613605594184016,-1.5387079943827473,-0.6461700623793476,-1.5843037643343223,-0.7114471142789967
HLA-DPB1,P04440,-1.220396862621243,-1.6239040009496364,-1.7413823629075296,-1.5837902256041616,-1.7840451523836656,-1.1039504152511732,-1.300338629148989,-0.7808585610688681,-0.27614616725820795,-1.3528490075362498,-1.5079317420972274,-1.6917524072310322,-0.20227242139620216,-1.0049378475730393,-0.9191521362910748
HLA-DQB1,P01920,-1.5144649363467053,-1.3917405439021984,-2.2590870864482646,-2.1888886563812733,-2.4839829041810297,-2.199393995916438,-1.667937232809777,-1.7039430476464617,-1.3338025389980643,-2.2502874617534907,-1.605685953668413,-1.4763581031881117,-0.936923441254006,-1.5508835528060523,-1.7173233144793159
HLA-DRA,P01903,0.5669266066560503,1.1305460924501247,0.2471402329727148,0.6038701380292864,0.11729797623539184,1.1973874389062154,0.9241022383673112,0.6897208723475714,1.356320160172416,0.6580683762432393,0.9394616428659788,1.03639776423622,1.4769551007027992,0.8551756837349878,1.321961897659051
HLA-DRB1,P01911,-0.6657362716210002,-1.003903394270143,-2.7988464474734087,-0.9597225848015896,-2.570450509417441,-2.3381302518523057,-2.863233640874384,-2.946250421291346,-0.4515268055055017,-1.6353341935201335,-2.5518372026807015,-1.2134292056038838,-0.3002306177674754,-0.585828446172382,-0.16981842996251117
HLA-DRB3,P79483,-0.8437977510570462,-2.202514386070998,-1.1094660372445198,-1.758651460374658,-0.9894476995142583,-2.195707189769152,-2.1974077660865987,-2.2571395627744373,-1.3118737472095034,-2.3079729394277706,-1.6317115007935428,-2.3937038036078704,-1.5599405468347634,-2.1141770762825907,-2.0085799986112924
HLA-DRB5,Q30154,-2.4840073591743774,-2.137605750080038,-2.838216259282955,-2.098149936411936,-2.8443672580225936,-2.317850579420579,-2.505523730152543,-2.168277977243239,-1.9997430696836425,-0.9345964356973404,-3.525547955372245,-2.4123268044171624,-2.033135507002985,-1.71068314935453,-1.8258389912647779
HLA-E,P13747,-0.39385923601880535,-0.07417525352135712,-0.06289920083960965,-0.2959154662127901,-0.37174953594177396,-0.28046739609116855,-0.3794172405440044,0.3563264697934514,-0.07038972091869411,-0.35484891756629366,-0.07673120893831253,-0.19722946091089355,0.04944267600447816,-0.34667019274206723,-0.3765728615910966
HLA-F,P30511,-0.1628223522485186,-0.24362620553291592,-0.2154733436141676,-0.21234256615801073,-0.3533541225269339,-0.19417652913620032,-0.536502896160215,-0.15849416795159854,0.01830105834000051,-0.1980742353434053,-0.23289854100075758,-0.21301070427066904,0.03918958073272805,-0.264811571437054,-0.16783919285134985
HM13,Q8TCT9,-0.1971316953035256,-0.514291283374618,-0.4051091634419137,-0.08815318022948304,-0.5946368473207073,-0.4582817688604237,-0.3096374893213749,-1.132526084230193,-0.47441603428339363,-0.025167402123642546,-0.1274826496969581,-0.5426524391361092,-0.15949984963012298,-0.7761899618363977,-0.5289493072968199
HMBS,P08397,0.8812493993950881,1.0545085329676276,0.7481252300273091,0.7760357689254178,0.9914501507989506,0.728599086195377,0.7180774434647645,0.9276148989161861,0.6238972910629954,0.5524145122492143,0.3163537778284784,0.9710262802743763,0.7006664694650233,0.665326512708468,0.7297391317502395
HMCES,Q96FZ2,-4.393745396251568,-4.199763248047839,-4.329795491991064,-4.515888494507658,-4.395870686247207,-4.329498764431818,-4.226511077731484,-4.15403903363711,-4.453233838222989,-3.979337229460418,-4.1201149352482815,-4.278068275101688,-4.074695627240736,-3.979046204765689,-4.143046601575149
HMCN1,Q96RW7,-5.151605881208708,-4.602049392350633,-4.495627638141423,-5.481773331214811,-5.331297502485077,-5.3388872081952226,-2.0701873620112927,-5.658333628631121,-4.4097387827456735,-4.85033661223442,-4.744549200698872,-3.060744281389807,-2.537327012067312,-3.8036290045208414,-4.980263351799769
