"my_auc","power","avg_log2fc","pct_1","pct_2","cluster","gene","avg_expr","statistic","pval","padj"
0.673357093668194,0.346714187336387,0.831237837665192,0.542914791246314,0.179143745172694,"Adipocyte","KAZN",1.3393751170012,3027593198,0,0
0.53898394684236,0.0779678936847201,0.0214344492728817,0.198510010864504,0.108115892602024,"Adipocyte","PLA2G2A",0.343347561821528,2423415668.5,1.48936083270114e-88,4.7433314621216e-88
0.477845055535904,0.0443098889281923,-0.274211861326573,0.269750116405401,0.27594779989482,"Adipocyte","PLA2G5",0.478065083328349,2148518896.5,6.93086822842242e-15,1.20286215253228e-14
0.642547908196994,0.285095816393987,0.665533244769967,0.817631538103368,0.578672012587178,"Adipocyte","NFIA",2.09948015176104,2889066877.79688,0,0
0.561665218493806,0.123330436987613,0.209508741631279,0.334161105075275,0.182419506686938,"Adipocyte","NEGR1",0.780371460371359,2525396719,7.24909017047192e-141,3.08906305546459e-140
0.488302417668833,0.0233951646623332,-0.157353072797004,0.103057581871799,0.119793136950045,"Adipocyte","ST6GALNAC3",0.168312892597328,2195537987.5,9.23380032020184e-09,1.41808241401635e-08
0.392268457581474,0.215463084837051,-0.815660777187961,0.229706658388949,0.370888998112783,"Adipocyte","NEXN",0.315022634656144,1763743673.5,5.69219732964751e-260,4.18759312321437e-259
0.505078640261914,0.0101572805238281,-0.0722634203111726,0.099177401831445,0.0830160506582332,"Adipocyte","VAV3",0.113197964379283,2270968361.5,0.00333120416678247,0.00428023402534274
0.518396292018679,0.0367925840373586,-0.0685580343086045,0.584510321278907,0.391444903152956,"Adipocyte","PDE4DIP",1.04593403446567,2330848078,7.56112465857973e-09,1.16343288036787e-08
0.50113446057302,0.00226892114603938,0.00210799059207363,0.0062082880645662,0.00393492612340994,"Adipocyte","ITLN1",0.0130500333828367,2253234277,0.00387561469132238,0.00495948019643753
0.451526653585013,0.0969466928299743,-0.352382976788966,0.0580474934036939,0.148307738162622,"Adipocyte","RGS5",0.0721622659662953,2030184337.5,6.45869369520224e-105,2.26054279332079e-104
0.501898282337257,0.00379656467451439,-0.0294499291921162,0.0333695483470433,0.0289086670115339,"Adipocyte","CD247",0.0344227241549361,2256668623.5,0.0704532004570355,0.0839413994350771
0.514733923448675,0.0294678468973506,0.0461238943025893,0.0346112059599565,0.00509133012253297,"Adipocyte","PRG4",0.0576760377940334,2314381091.5,4.53898456502935e-228,2.90481817439305e-227
0.539915610956776,0.0798312219135513,0.0426730344761768,0.204407884525842,0.110812735633436,"Adipocyte","KCNT2",0.308144076462749,2427604679,8.89131991884237e-91,2.87486554820363e-90
0.475069047830868,0.0498619043382633,-0.158891949718837,0.033059133943815,0.0812606666446945,"Adipocyte","PTPRC",0.0501757325555909,2136037225,2.82042672141181e-48,6.9163680614738e-48
0.351930110374571,0.296139779250857,-1.00267824383675,0.0835014744684153,0.355655130808351,"Adipocyte","TNNT2",0.145478198979881,1582371699,0,0
0.503125366082168,0.00625073216433503,-0.0486241690085623,0.0698432407263697,0.0608236978274794,"Adipocyte","LMOD1",0.0690617508622542,2262185919.5,0.036894415406218,0.0448374581930935
0.860097621887626,0.720195243775253,1.9759830913001,0.777898494490144,0.102409819833117,"Adipocyte","G0S2",2.1445471284593,3867228450,0,0
0.365362691919516,0.269274616160968,-1.60333750333648,0.146826012726991,0.368126238620454,"Adipocyte","RYR2",0.297267123402677,1642768170.5,0,0
0.576435601237083,0.152871202474167,0.262919212841009,0.568834393915878,0.37048203561495,"Adipocyte","SMYD3",1.05886032051851,2591808301.71875,2.44307770283008e-131,9.88001940350022e-131
0.857825089745968,0.715650179491937,1.70635329657309,0.792487971441875,0.15033825175216,"Adipocyte","LPIN1",1.93131972359643,3857010539,0,0
0.362906675784981,0.274186648430039,-1.25651698139515,0.243675306534223,0.428905514485142,"Adipocyte","SLC8A1",0.397124454693519,1631725266.5,0,0
